country,spirit_servings
Afghanistan,0
Burundi,0
Pakistan,0
Nauru,0
Monaco,0
North Korea,0
Mauritania,0
Marshall Islands,0
Maldives,0
Equatorial Guinea,0
Eritrea,0
Libya,0
Laos,0
Kuwait,0
Gambia,0
Iran,0
San Marino,0
Bhutan,0
Guinea,0
Somalia,0
Bangladesh,0
Yemen,0
Algeria,0
Congo,1
Timor-Leste,1
Mali,1
Chad,1
Cameroon,1
Myanmar,1
Indonesia,1
Senegal,1
Cote d'Ivoire,1
Swaziland,2
Vietnam,2
Togo,2
Rwanda,2
Niger,2
Brunei,2
Central African Republic,2
Ethiopia,3
Tunisia,3
Iraq,3
DR Congo,3
Sierra Leone,3
Namibia,3
Comoros,3
Ghana,3
Egypt,4
Benin,4
Malaysia,4
Saudi Arabia,5
Nigeria,5
Tanzania,6
Morocco,6
Nepal,6
Burkina Faso,7
Uganda,9
Malawi,11
Solomon Islands,11
Singapore,12
Sudan,13
Madagascar,15
Tajikistan,15
Oman,16
South Korea,16
Vanuatu,18
Samoa,18
Mozambique,18
Zimbabwe,18
Zambia,19
Tonga,21
Jordan,21
Turkey,22
Kenya,22
Argentina,25
Seychelles,25
Macedonia,27
Lesotho,29
Guinea-Bissau,31
Mauritius,31
Kiribati,34
Uruguay,35
Fiji,35
Botswana,35
Syria,35
Sao Tome & Principe,38
Papua New Guinea,39
Tuvalu,41
Bolivia,41
Italy,42
Qatar,42
Djibouti,44
Azerbaijan,46
Micronesia,50
Slovenia,51
Lebanon,55
Cabo Verde,56
Angola,57
Sweden,60
Iceland,61
Palau,63
Bahrain,63
Cambodia,65
Portugal,67
Mexico,68
Guatemala,69
El Salvador,69
Israel,69
Norway,71
Turkmenistan,71
Australia,72
Ecuador,74
Austria,75
Colombia,76
South Africa,76
New Zealand,79
Denmark,81
Belgium,84
Croatia,87
Costa Rica,87
Netherlands,88
Jamaica,97
Kyrgyzstan,97
Gabon,98
Honduras,98
Malta,100
Georgia,100
Switzerland,100
Venezuela,100
Uzbekistan,101
Sri Lanka,104
Panama,104
Greece,112
Montenegro,114
Belize,114
India,114
Paraguay,117
Germany,117
Nicaragua,118
Ireland,118
Romania,122
Canada,122
Chile,124
United Kingdom,126
Antigua & Barbuda,128
Serbia,131
Albania,132
Finland,133
Luxembourg,133
United Arab Emirates,135
Cuba,137
Andorra,138
Brazil,145
Dominican Republic,147
France,151
Liberia,152
Cyprus,154
Trinidad & Tobago,156
Spain,157
USA,158
Peru,160
Czech Republic,170
Barbados,173
Bosnia-Herzegovina,173
Bahamas,176
Suriname,178
Armenia,179
Philippines,186
Mongolia,189
China,192
Estonia,194
Niue,200
Japan,202
St. Kitts & Nevis,205
Poland,215
Hungary,215
Latvia,216
St. Vincent & the Grenadines,221
Moldova,226
Ukraine,237
Lithuania,244
Kazakhstan,246
Bulgaria,252
Cook Islands,254
Thailand,258
Dominica,286
Slovakia,293
Guyana,302
St. Lucia,315
Haiti,326
Russian Federation,326
Belarus,373
Grenada,438
